ISBN;Bname;Bnumber;BID;ZT
0000755492;老子道德经释译研究;3;1;1
0000755492;老子道德经释译研究;3;2;1
0000755492;老子道德经释译研究;3;3;1
0000660734;日本的神道;1;4;1
0000432757;逃避自由.2版;3;5;1
0000432757;逃避自由.2版;3;6;1
0000432757;逃避自由.2版;3;7;1
0000280184;人性的弱点全集;3;8;1
0000280184;人性的弱点全集;3;9;1
0000280184;人性的弱点全集;3;10;1
0000263606;《马克思主义哲学原理》学生学习辅导用书;1;11;1
0000737323;圣经通识手册;1;12;1
0000791915;理想国;3;13;1
0000791915;理想国;3;14;1
0000791915;理想国;3;15;1
0000825286;悲剧的诞生;3;16;1
0000825286;悲剧的诞生;3;17;1
0000825286;悲剧的诞生;3;18;1
0000801710;直男心理学;3;19;1
0000801710;直男心理学;3;20;1
0000801710;直男心理学;3;21;1
0000699151;自控力:斯坦福大学最受欢迎心理学课程;4;22;1
0000699151;自控力:斯坦福大学最受欢迎心理学课程;4;23;1
0000699151;自控力:斯坦福大学最受欢迎心理学课程;4;24;1
0000699151;自控力:斯坦福大学最受欢迎心理学课程;4;25;1
0000711470;发展心理学;3;26;1
0000711470;发展心理学;3;27;1
0000711470;发展心理学;3;28;1
0000808936;孟子译注.典藏版;3;29;1
0000808936;孟子译注.典藏版;3;30;1
0000808936;孟子译注.典藏版;3;31;1
0000737986;心理师的眼睛;3;32;1
0000737986;心理师的眼睛;3;33;1
0000737986;心理师的眼睛;3;34;1
0000482215;视读本雅明;2;35;1
0000482215;视读本雅明;2;36;1
0000781499;佛教与当代中国文化;1;37;1
0000263918;中国哲学教程;1;38;1
0000814038;哲学家.2015-2016;1;39;1
0000790751;天国的陨落:太平天国宗教再研究.增订版;2;40;1
0000790751;天国的陨落:太平天国宗教再研究.增订版;2;41;1
0000539112;心理学经典实验;2;42;1
0000539112;心理学经典实验;2;43;1
0000761377;精神分析案例解析;3;44;1
0000761377;精神分析案例解析;3;45;1
0000761377;精神分析案例解析;3;46;1
0000643452;理想国;5;47;1
0000643452;理想国;5;48;1
0000643452;理想国;5;49;1
0000643452;理想国;5;50;1
0000643452;理想国;5;51;1
0000783376;了凡四训浅释;3;52;1
0000783376;了凡四训浅释;3;53;1
0000783376;了凡四训浅释;3;54;1
0000790920;哈佛情商课.第3版;3;55;1
0000790920;哈佛情商课.第3版;3;56;1
0000790920;哈佛情商课.第3版;3;57;1
0000812564;中国古代神话;2;58;1
0000812564;中国古代神话;2;59;1
0000643028;人格心理学;3;60;1
0000643028;人格心理学;3;61;1
0000643028;人格心理学;3;62;1
0000812301;沉思录:典藏版;3;63;1
0000812301;沉思录:典藏版;3;64;1
0000812301;沉思录:典藏版;3;65;1
0000812311;实验心理学;3;66;1
0000812311;实验心理学;3;67;1
0000812311;实验心理学;3;68;1
0000753498;积极心理学;3;69;1
0000753498;积极心理学;3;70;1
0000753498;积极心理学;3;71;1
0000782284;心理学家的故事;2;72;1
0000782284;心理学家的故事;2;73;1
0000804392;人性的弱点;3;74;1
0000804392;人性的弱点;3;75;1
0000804392;人性的弱点;3;76;1
0000718136;中国儒学.第2版;1;77;1
0000787110;自我技术;2;78;1
0000787110;自我技术;2;79;1
0000792787;自卑与超越;3;80;1
0000792787;自卑与超越;3;81;1
0000792787;自卑与超越;3;82;1
0000541637;中国思想文化十八讲;1;83;1
0000665128;沉思录;3;84;1
0000665128;沉思录;3;85;1
0000665128;沉思录;3;86;1
0000804829;理想国;3;87;1
0000804829;理想国;3;88;1
0000804829;理想国;3;89;1
0000729111;波伏娃.第2版;2;90;1
0000729111;波伏娃.第2版;2;91;1
0000737523;卡耐基成功的28项黄金法则;1;92;1
0000797277;西方三大师:苏格拉底、柏拉图、亚里士多德;2;93;1
0000797277;西方三大师:苏格拉底、柏拉图、亚里士多德;2;94;1
0000718109;历史、实践与社会:孙伯鍨集;1;95;1
0000405490;心理学与教育;6;96;1
0000405490;心理学与教育;6;97;1
0000405490;心理学与教育;6;98;1
0000405490;心理学与教育;6;99;1
0000405490;心理学与教育;6;100;1
0000405490;心理学与教育;6;101;1
0000692732;傅佩荣谈人生:哲学与人生.第2版;3;102;1
0000692732;傅佩荣谈人生:哲学与人生.第2版;3;103;1
0000692732;傅佩荣谈人生:哲学与人生.第2版;3;104;1
0000807164;互联网心理学:新心理与行为研究的兴起;2;105;1
0000807164;互联网心理学:新心理与行为研究的兴起;2;106;1
0000725781;家庭与人格;3;107;1
0000725781;家庭与人格;3;108;1
0000725781;家庭与人格;3;109;1
0000704439;欲望心理学:看人看到骨头里;3;110;1
0000704439;欲望心理学:看人看到骨头里;3;111;1
0000704439;欲望心理学:看人看到骨头里;3;112;1
0000719899;理想国;3;113;1
0000719899;理想国;3;114;1
0000719899;理想国;3;115;1
0000718983;论语译注.新1版;2;116;1
0000718983;论语译注.新1版;2;117;1
0000799367;悲剧的诞生;3;118;1
0000799367;悲剧的诞生;3;119;1
0000799367;悲剧的诞生;3;120;1
0000687629;马克思恩格斯道德哲学研究;1;121;1
0000281588;菜根谭:为人处世大全;3;122;1
0000281588;菜根谭:为人处世大全;3;123;1
0000281588;菜根谭:为人处世大全;3;124;1
0000718333;菜根谭;2;125;1
0000718333;菜根谭;2;126;1
0000696976;心理测量学;2;127;1
0000696976;心理测量学;2;128;1
0000820578;中古道教类书与道教思想;1;129;1
0000738480;法家思想小史;2;130;1
0000738480;法家思想小史;2;131;1
0000539562;不负如来不负卿:六世达赖仓央嘉措的诗与情;3;132;1
0000539562;不负如来不负卿:六世达赖仓央嘉措的诗与情;3;133;1
0000539562;不负如来不负卿:六世达赖仓央嘉措的诗与情;3;134;1
0000558569;尼各马可伦理学:注释导读本;3;135;1
0000558569;尼各马可伦理学:注释导读本;3;136;1
0000558569;尼各马可伦理学:注释导读本;3;137;1
0000756270;Stata统计分析与应用.第2版;2;138;1
0000756270;Stata统计分析与应用.第2版;2;139;1
0000774053;中国秘书史;2;140;1
0000774053;中国秘书史;2;141;1
0000813655;社会学的想象力.第4版;3;142;1
0000813655;社会学的想象力.第4版;3;143;1
0000813655;社会学的想象力.第4版;3;144;1
0000773432;乌合之众:群体心理研究;4;145;1
0000773432;乌合之众:群体心理研究;4;146;1
0000773432;乌合之众:群体心理研究;4;147;1
0000773432;乌合之众:群体心理研究;4;148;1
0000664172;乌合之众:大众心理研究;5;149;1
0000664172;乌合之众:大众心理研究;5;150;1
0000664172;乌合之众:大众心理研究;5;151;1
0000664172;乌合之众:大众心理研究;5;152;1
0000664172;乌合之众:大众心理研究;5;153;1
0000755445;乌合之众:集体心态的奥秘:最新全译本;3;154;1
0000755445;乌合之众:集体心态的奥秘:最新全译本;3;155;1
0000755445;乌合之众:集体心态的奥秘:最新全译本;3;156;1
0000679930;社会保障学:理念、制度、实践与思辨;3;157;1
0000679930;社会保障学:理念、制度、实践与思辨;3;158;1
0000679930;社会保障学:理念、制度、实践与思辨;3;159;1
0000774853;菊与刀;4;160;1
0000774853;菊与刀;4;161;1
0000774853;菊与刀;4;162;1
0000774853;菊与刀;4;163;1
0000795552;乌合之众:大众心理研究;4;164;1
0000795552;乌合之众:大众心理研究;4;165;1
0000795552;乌合之众:大众心理研究;4;166;1
0000795552;乌合之众:大众心理研究;4;167;1
0000790167;SPSS 22统计分析案例教程;2;168;1
0000790167;SPSS 22统计分析案例教程;2;169;1
0000807221;柏杨全集.玖,杂文卷;2;170;1
0000807221;柏杨全集.玖,杂文卷;2;171;1
0000556812;古希腊史;2;172;1
0000556812;古希腊史;2;173;1
0000772118;SPSS统计分析从入门到精通.第3版;3;174;1
0000772118;SPSS统计分析从入门到精通.第3版;3;175;1
0000772118;SPSS统计分析从入门到精通.第3版;3;176;1
0000820744;别装了, 其实你没病:生涯微咨询欢乐答疑;2;177;1
0000820744;别装了, 其实你没病:生涯微咨询欢乐答疑;2;178;1
0000718138;论传统;1;179;1
0000779366;利用Python进行数据分析;1;180;1
0000553379;身体与社会理论;2;181;1
0000553379;身体与社会理论;2;182;1
0000822854;乌合之众:大众心理研究;3;183;1
0000822854;乌合之众:大众心理研究;3;184;1
0000822854;乌合之众:大众心理研究;3;185;1
0000783794;管理信息系统;2;186;1
0000783794;管理信息系统;2;187;1
0000775878;乌合之众:大众心理研究;3;188;1
0000775878;乌合之众:大众心理研究;3;189;1
0000775878;乌合之众:大众心理研究;3;190;1
0000458361;六维领导力;2;191;1
0000458361;六维领导力;2;192;1
0000728203;科学管理原理;2;193;1
0000728203;科学管理原理;2;194;1
0000331302;同性恋亚文化;2;195;1
0000331302;同性恋亚文化;2;196;1
0000809538;SPSS数据处理与分析;2;197;1
0000809538;SPSS数据处理与分析;2;198;1
0000765961;童年的消逝;4;199;1
0000765961;童年的消逝;4;200;1
0000765961;童年的消逝;4;201;1
0000765961;童年的消逝;4;202;1
0000748218;男人来自火星 女人来自金星;1;203;1
0000285160;菊与刀:插图典藏本;3;204;1
0000285160;菊与刀:插图典藏本;3;205;1
0000285160;菊与刀:插图典藏本;3;206;1
